id,region,source,proposed_label,decision,notes
TAP_ASGM_000,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.70443 lat=-7.56651; chip=yes; outline=yes
TAP_ASGM_001,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.47786 lat=-5.70210; chip=yes; outline=yes
TAP_ASGM_002,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.91221 lat=-5.73920; chip=yes; outline=yes
TAP_ASGM_003,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.72625 lat=-7.57790; chip=yes; outline=yes
TAP_ASGM_004,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.46927 lat=-5.69198; chip=yes; outline=yes
TAP_ASGM_005,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.67819 lat=-5.95079; chip=yes; outline=yes
TAP_ASGM_006,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.47866 lat=-4.91395; chip=yes; outline=yes
TAP_ASGM_007,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.70416 lat=-7.88509; chip=yes; outline=yes
TAP_ASGM_008,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.47243 lat=-5.78727; chip=yes; outline=yes
TAP_ASGM_009,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.54801 lat=-6.80829; chip=yes; outline=yes
TAP_ASGM_010,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.53443 lat=-5.35866; chip=yes; outline=yes
TAP_ASGM_011,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.72747 lat=-5.37605; chip=yes; outline=yes
TAP_ASGM_012,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.29048 lat=-7.20182; chip=yes; outline=yes
TAP_ASGM_013,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.34632 lat=-6.31777; chip=yes; outline=yes
TAP_ASGM_014,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.35357 lat=-5.71561; chip=yes; outline=yes
TAP_ASGM_015,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.19752 lat=-6.91950; chip=yes; outline=yes
TAP_ASGM_016,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.18527 lat=-7.28788; chip=yes; outline=yes
TAP_ASGM_017,TAP,MausV2 x AMW2019-20,ASGM,uncertain,lon=-56.11319 lat=-6.71344; chip=yes; outline=yes; adj: river-bend sandbar vs dredging — cannot separate
TAP_ASGM_018,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.54373 lat=-5.80905; chip=yes; outline=yes
TAP_ASGM_019,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.13282 lat=-5.51717; chip=yes; outline=yes
TAP_ASGM_020,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.50006 lat=-6.18957; chip=yes; outline=yes
TAP_ASGM_021,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.66390 lat=-5.64808; chip=yes; outline=yes
TAP_ASGM_022,TAP,MausV2 x AMW2019-20,ASGM,uncertain,lon=-56.37381 lat=-6.24205; chip=yes; outline=yes; adj: polygon mostly forest in 2019
TAP_ASGM_023,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.57290 lat=-7.02681; chip=yes; outline=yes
TAP_ASGM_024,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.61450 lat=-5.49070; chip=yes; outline=yes
TAP_ASGM_025,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.77784 lat=-5.54622; chip=yes; outline=yes
TAP_ASGM_026,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.63020 lat=-6.77909; chip=yes; outline=yes
TAP_ASGM_027,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.03132 lat=-7.12187; chip=yes; outline=yes
TAP_ASGM_028,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.62316 lat=-5.67202; chip=yes; outline=yes
TAP_ASGM_029,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.43588 lat=-7.06623; chip=yes; outline=yes
TAP_ASGM_030,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-57.91128 lat=-6.03080; chip=yes; outline=yes
TAP_ASGM_031,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.05458 lat=-6.40990; chip=yes; outline=yes
TAP_ASGM_032,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-55.58280 lat=-6.48200; chip=yes; outline=yes
TAP_ASGM_033,TAP,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-56.40765 lat=-6.42644; chip=yes; outline=yes
TAP_ASGM_034,TAP,MausV2 x AMW2019-20,ASGM,uncertain,lon=-56.26336 lat=-6.19811; chip=yes; outline=yes; adj: polygon offset from visible mining
MDD_ASGM_000,MDD,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-70.54783 lat=-12.87582; chip=yes; outline=yes
MDD_ASGM_001,MDD,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-70.24388 lat=-13.10575; chip=yes; outline=yes
MDD_ASGM_002,MDD,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-69.77520 lat=-12.68738; chip=yes; outline=yes
MDD_ASGM_003,MDD,MausV2 x AMW2019-20,ASGM,ASGM_confirmed,lon=-70.11262 lat=-12.64585; chip=yes; outline=yes
